date,contact_name,invoice_number,reference,total,amount_due,days_old,project_code,status
2025-05-12,Virgin Australia,7952110113630,,202,202,331,ACT-IN,AUTHORISED
2026-02-11,Hinterland Aviation,4879433,,201.96,201.96,56,ACT-IN,AUTHORISED
2026-02-11,Hinterland Aviation,4879433,,201.96,201.96,56,ACT-IN,AUTHORISED
2025-02-07,Virgin Australia,7952107056526,,189.68,189.68,425,ACT-IN,AUTHORISED
2026-03-09,Unknown Supplier,POS069630(527),,185.25,185.25,30,ACT-EL,AUTHORISED
2025-02-20,Virgin Australia,7952107528546,,180.78,180.78,412,ACT-IN,AUTHORISED
2025-03-10,Platypus Alice Springs,090900049775 for query - personal?,,179.98,179.98,394,ACT-GD,AUTHORISED
2026-03-01,Qantas,081-2384036520,,179.88,179.88,38,ACT-IN,AUTHORISED
2025-03-10,Kmart,Purpose?,,173,173,394,ACT-UA,AUTHORISED
2025-09-09,Amazon,12484342-INV-AU-2025-90987998,,165.01,165.01,211,ACT-IN,AUTHORISED
2026-02-16,Grand Hotel & Apartments Townsville,71903,,158.84,158.84,51,ACT-GD,AUTHORISED
2025-04-10,Booking.com,4470.943.663,,155,155,363,ACT-IN,AUTHORISED
2026-03-04,Sunshine Coast Council,WM217422\1,,148,148,35,ACT-FM,AUTHORISED
2025-06-06,Qantas,FRFXCJ,,145.01,145.01,306,ACT-IN,AUTHORISED
2025-06-10,Notion Labs,in_1RYKH3CcKlYJxALVDp0bfH4T,,141.67,141.67,302,ACT-IN,AUTHORISED
2026-01-23,HighLevel,AGAPY3VP-0005,,141.63,141.63,75,ACT-IN,AUTHORISED
2025-08-20,Devils Marbles Hotel,22298,,138.91,138.91,231,ACT-GD,AUTHORISED
2025-06-25,Devils Marbles Hotel,25511,,138.8,138.8,287,ACT-GD,AUTHORISED
2026-02-23,HighLevel,AGAPY3VP-0007,,137.27,137.27,44,ACT-IN,AUTHORISED
2026-03-02,BP,RB19763325530,,133.63,133.63,37,ACT-IN,AUTHORISED
2025-07-02,Hanuman Alice Springs,RB17337557640,,132.5,132.5,280,ACT-UA,AUTHORISED
2025-08-08,Maleny Hardware And Rural Supplies,158713,,125.75,125.75,243,ACT-HV,AUTHORISED
2025-07-29,Maleny Hardware And Rural Supplies,156684,,124.1,124.1,253,ACT-HV,AUTHORISED
2025-06-23,Hanuman Alice Springs,109189,,121.5,121.5,289,ACT-UA,AUTHORISED
2025-09-26,Webflow,1758931004,,116.04,116.04,194,ACT-IN,AUTHORISED
2025-12-22,Qantas,FRN7VA,,115.24,115.24,107,ACT-IN,AUTHORISED
2025-05-23,Maleny Hardware And Rural Supplies,144242,,112.5,112.5,320,ACT-HV,AUTHORISED
2025-08-20,Fast Fuel Motors,000150,,111.9,111.9,231,ACT-GD,AUTHORISED
2025-03-07,Booking.com,XKK5-XFXY-INS,,111.54,111.54,397,ACT-IN,AUTHORISED
2025-06-02,Qantas,081-2371284100,,110.5,110.5,310,ACT-IN,AUTHORISED
2025-09-01,Qantas,081-2375584531,,109.41,109.41,219,ACT-IN,AUTHORISED
2025-08-17,Hanuman Alice Springs,RB17779751910,,104,104,234,ACT-UA,AUTHORISED
2025-06-30,Memories Bistro,17308264880,,101,101,282,ACT-GD,AUTHORISED
2025-10-11,Apple Pty Ltd,786034717731,,99.99,99.99,179,ACT-IN,AUTHORISED
2025-10-02,Piggyback,RB18234010920,,99,99,188,ACT-UA,AUTHORISED
2026-02-16,Uber,RB19874781280,,96.69,96.69,51,ACT-IN,AUTHORISED
2025-09-22,Maleny Hardware And Rural Supplies,167419,,95.9,95.9,198,ACT-HV,AUTHORISED
2025-03-01,Booking.com,AZSJ-2EJU-INS,,95.02,95.02,403,ACT-IN,AUTHORISED
2025-12-22,Booking.com,5538807858,,89,89,107,ACT-IN,AUTHORISED
2026-02-21,Supabase,WSHNYD-00019,,87.29,87.29,46,ACT-IN,AUTHORISED
2026-02-21,Supabase,WSHNYD-00019,,87.29,87.29,46,ACT-IN,AUTHORISED
2025-09-01,Brisbane City Council,610303264-NRR,,85.75,85.75,219,ACT-PS,AUTHORISED
2025-05-23,Rasier Pacific,GFDIJDBG-03-2025-0001673,,79.82,79.82,320,ACT-IN,AUTHORISED
2025-12-21,Supabase,WSHNYD-00017,,79.01,79.01,108,ACT-IN,AUTHORISED
2026-02-10,Notion Labs,in_1Sz92SCcKlYJxALVZTxCe86f,,74.63,74.63,57,ACT-IN,AUTHORISED
2026-01-04,Greyhound Australia,FRN7VA,,74,74,94,ACT-IN,AUTHORISED
2025-06-19,Maleny Hardware And Rural Supplies,149251,,73.7,73.7,293,ACT-HV,AUTHORISED
2025-12-14,Uber,RB19874811050,,70.71,70.71,115,ACT-IN,AUTHORISED
2025-05-14,Rasier Pacific,GCJJCGFE-03-2025-0000361,,69.94,69.94,329,ACT-IN,AUTHORISED
2025-12-15,Uber,RB19874810860,,69.41,69.41,114,ACT-IN,AUTHORISED
2025-04-30,Ledgerly,INAED24D7F,,69,69,343,,AUTHORISED
2025-12-17,Uber,RB19874810050,,66.12,66.12,112,ACT-IN,AUTHORISED
2026-02-17,Uber,RB19874780510,,66.1,66.1,50,ACT-IN,AUTHORISED
2026-01-04,Uber,RB19874805240,,66.07,66.07,94,ACT-IN,AUTHORISED
2026-02-14,Webflow,1771030733,,65.33,65.33,53,ACT-IN,AUTHORISED
2026-02-16,Webflow,1771203832,,65.23,65.23,51,ACT-IN,AUTHORISED
2025-06-06,Rasier Pacific,GEGJHCFA-03-2025-0002058,,65.2,65.2,306,ACT-IN,AUTHORISED
2025-07-02,Devils Marbles Hotel,15193,,63.75,63.75,280,ACT-GD,AUTHORISED
2025-07-03,Taxi Receipt,403734,,62.85,62.85,279,ACT-IN,AUTHORISED
2025-05-22,Rasier Pacific,FBBIIEHB-03-2025-0000702,,59.6,59.6,321,ACT-IN,AUTHORISED
2026-01-18,Uber,RB19874788910,,59.21,59.21,80,ACT-IN,AUTHORISED
2026-02-16,Uber,RB19874781090,,58.51,58.51,51,ACT-IN,AUTHORISED
2025-07-30,Maleny Hardware And Rural Supplies,156828,,57.75,57.75,252,ACT-HV,AUTHORISED
2025-06-23,Taxi Receipt,947298,,57.43,57.43,289,ACT-IN,AUTHORISED
