date,contact_name,project_code,total,gst_at_risk,bank_account
2026-01-05,NAB Fee,ACT-IN,2.17,0.2,NAB Visa ACT #8815
2026-01-30,NAB,ACT-HQ,1.96,0.18,NAB Visa ACT #8815
2026-03-30,NAB,,1.96,0.18,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,1.96,0.18,NAB Visa ACT #8815
2026-03-30,NAB,,1.94,0.18,NAB Visa ACT #8815
2026-03-30,NAB,,1.74,0.16,NAB Visa ACT #8815
2026-01-05,NAB Fee,ACT-IN,1.73,0.16,NAB Visa ACT #8815
2026-01-23,NAB Fee,ACT-IN,1.66,0.15,NAB Visa ACT #8815
2026-01-27,NAB,ACT-HQ,1.63,0.15,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,1.59,0.14,NAB Visa ACT #8815
2026-02-23,NAB,ACT-HQ,1.59,0.14,NAB Visa ACT #8815
2026-01-14,NAB Fee,ACT-IN,1.52,0.14,NAB Visa ACT #8815
2026-01-12,NAB Fee,ACT-IN,1.52,0.14,NAB Visa ACT #8815
2026-02-16,NAB,ACT-HQ,1.44,0.13,NAB Visa ACT #8815
2026-03-13,NAB,ACT-HQ,1.43,0.13,NAB Visa ACT #8815
2026-03-27,NAB,ACT-HQ,1.34,0.12,NAB Visa ACT #8815
2026-01-27,NAB Fee,ACT-IN,1.34,0.12,NAB Visa ACT #8815
2026-01-07,NAB Fee,ACT-IN,1.31,0.12,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,1.31,0.12,NAB Visa ACT #8815
2026-02-06,NAB,ACT-HQ,1.26,0.11,NAB Visa ACT #8815
2026-03-06,NAB,ACT-HQ,1.25,0.11,NAB Visa ACT #8815
2026-01-19,NAB Fee,ACT-IN,1.19,0.11,NAB Visa ACT #8815
2026-01-02,NAB Fee,ACT-IN,1.15,0.1,NAB Visa ACT #8815
2026-02-06,NAB,ACT-HQ,1.11,0.1,NAB Visa ACT #8815
2026-01-14,NAB Fee,ACT-IN,1.1,0.1,NAB Visa ACT #8815
2026-01-30,NAB,ACT-HQ,1.1,0.1,NAB Visa ACT #8815
2026-03-16,NAB,ACT-HQ,1.1,0.1,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,1.09,0.1,NAB Visa ACT #8815
2026-01-19,NAB Fee,ACT-IN,1.08,0.1,NAB Visa ACT #8815
2026-01-21,NAB Fee,ACT-IN,1.08,0.1,NAB Visa ACT #8815
2026-03-06,NAB,ACT-HQ,1.05,0.1,NAB Visa ACT #8815
2026-01-19,NAB Fee,ACT-IN,1.05,0.1,NAB Visa ACT #8815
2026-01-09,NAB Fee,ACT-IN,1.04,0.09,NAB Visa ACT #8815
2026-02-16,NAB,ACT-HQ,1.04,0.09,NAB Visa ACT #8815
2026-03-06,NAB,ACT-HQ,1.04,0.09,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,1,0.09,NAB Visa ACT #8815
2026-02-18,NAB,ACT-HQ,1,0.09,NAB Visa ACT #8815
2026-03-18,NAB,ACT-HQ,0.99,0.09,NAB Visa ACT #8815
2026-02-18,NAB,ACT-HQ,0.99,0.09,NAB Visa ACT #8815
2026-03-25,NAB,ACT-HQ,0.78,0.07,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,0.75,0.07,NAB Visa ACT #8815
2026-02-23,NAB,ACT-HQ,0.69,0.06,NAB Visa ACT #8815
2026-02-16,NAB,ACT-HQ,0.66,0.06,NAB Visa ACT #8815
2026-03-30,NAB,,0.64,0.06,NAB Visa ACT #8815
2026-01-09,NAB Fee,ACT-IN,0.63,0.06,NAB Visa ACT #8815
2026-01-05,NAB Fee,ACT-IN,0.63,0.06,NAB Visa ACT #8815
2026-03-27,NAB,ACT-HQ,0.62,0.06,NAB Visa ACT #8815
2026-02-10,NAB,ACT-HQ,0.61,0.06,NAB Visa ACT #8815
2026-03-30,NAB,,0.61,0.06,NAB Visa ACT #8815
2026-03-09,NAB,ACT-HQ,0.6,0.05,NAB Visa ACT #8815
2026-01-12,NAB Fee,ACT-IN,0.58,0.05,NAB Visa ACT #8815
2026-03-30,NAB,,0.58,0.05,NAB Visa ACT #8815
2026-01-05,NAB Fee,ACT-IN,0.58,0.05,NAB Visa ACT #8815
2026-01-12,NAB Fee,ACT-IN,0.58,0.05,NAB Visa ACT #8815
2026-03-30,NAB,,0.56,0.05,NAB Visa ACT #8815
2026-03-09,NAB,ACT-HQ,0.55,0.05,NAB Visa ACT #8815
2026-03-30,NAB,,0.55,0.05,NAB Visa ACT #8815
2026-02-16,NAB,ACT-HQ,0.55,0.05,NAB Visa ACT #8815
2026-02-02,NAB,ACT-HQ,0.55,0.05,NAB Visa ACT #8815
2026-02-19,NAB,ACT-HQ,0.52,0.05,NAB Visa ACT #8815
2026-01-20,NAB Fee,ACT-IN,0.52,0.05,NAB Visa ACT #8815
2026-03-19,NAB,ACT-HQ,0.52,0.05,NAB Visa ACT #8815
2026-03-30,NAB,,0.52,0.05,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,0.49,0.04,NAB Visa ACT #8815
2026-03-13,NAB,ACT-HQ,0.47,0.04,NAB Visa ACT #8815
2026-03-30,NAB,,0.47,0.04,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,0.46,0.04,NAB Visa ACT #8815
